"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
limits,search,"addpeer_skew_limit",600,,,
limits,search,"allow_batch_mode",TRUE,,,
limits,search,"allow_inexact_metasearch",FALSE,,,
limits,search,"always_include_indexedfield_lispy",FALSE,,,
limits,search,"async_quota_update",TRUE,,,DEPRECATED
limits,search,"auto_cancel_after_pause",FALSE,,,
limits,search,"base_max_searches",6,,,
limits,search,"batch_retry_max_interval",300,,,
limits,search,"batch_retry_min_interval",5,,,
limits,search,"batch_retry_scaling","1.5",,,
limits,search,"batch_search_max_index_values",10000000,,,
limits,search,"batch_search_max_pipeline",TRUE,,,
limits,search,"batch_search_max_results_aggregator_queue_size",100000000,,,
limits,search,"batch_search_max_serialized_results_queue_size",100000000,,,
limits,search,"batch_wait_after_end",900,,,DEPRECATED
limits,search,"bucket_localize_max_lookahead",5,,,
limits,search,"bucket_predictor","consec_not_needed",,,
limits,search,"cache_ttl",300,,,
limits,search,"check_search_marker_done_interval",60,,,
limits,search,"check_search_marker_sleep_interval",1,,,
limits,search,"chunk_multiplier",5,,,
limits,search,"default_allow_queue",TRUE,,,
limits,search,"default_save_ttl",604800,,,
limits,search,"dispatch_dir_warning_size",2000,,,
limits,search,"dispatch_quota_retry",4,,,
limits,search,"dispatch_quota_sleep_ms",100,,,
limits,search,"enable_conditional_expansion",FALSE,,,
limits,search,"enable_cumulative_quota",FALSE,,,
limits,search,"enable_datamodel_meval",TRUE,,,
limits,search,"enable_history",TRUE,,,
limits,search,"enable_memory_tracker",FALSE,,,
limits,search,"failed_job_ttl",14400,,,
limits,search,"fetch_remote_search_log",disabledSavedSearches,,,
limits,search,"fieldstats_update_freq",FALSE,,,
limits,search,"fieldstats_update_maxperiod",60,,,
limits,search,"force_saved_search_dispatch_as_user",FALSE,,,
limits,search,"idle_process_cache_search_count",8,,,
limits,search,"idle_process_cache_timeout","0.5",,,
limits,search,"idle_process_reaper_period",30,,,
limits,search,"idle_process_regex_cache_hiwater",2500,,,
limits,search,"launcher_max_idle_checks",5,,,
limits,search,"launcher_threads","-1",,,
limits,search,"load_remote_bundles",FALSE,,,
limits,search,"long_search_threshold",2,,,
limits,search,"max_audit_sourcetypes",100,,,
limits,search,"max_chunk_queue_size",1000000,,,
limits,search,"max_combiner_memevents",50000,,,
limits,search,"max_count",500000,,,
limits,search,"max_history_length",1000,,,
limits,search,"max_id_length",150,,,
limits,search,"max_macro_depth",100,,,
limits,search,"max_old_bundle_idle_time",5,,,
limits,search,"max_rawsize_perchunk",100000000,,,
limits,search,"max_results_perchunk",2500,,,
limits,search,"max_rt_search_multiplier",TRUE,,,
limits,search,"max_searches_per_cpu",3,1,,
limits,search,"max_searches_per_process",TRUE,500,,
limits,search,"max_subsearch_depth",8,,,
limits,search,"max_time_per_process",300,,,
limits,search,"max_tolerable_skew",60,,,
limits,search,"max_workers_searchparser",5,,,
limits,search,"min_freq","0.01",,,
limits,search,"min_prefix_len",TRUE,,,
limits,search,"min_results_perchunk",100,,,
limits,search,"phased_execution_mode",singlethreaded,,,
limits,search,"preview_duty_cycle","0.25",,,
limits,search,"process_max_age",7200,,,
limits,search,"process_min_age_before_user_change",4,,,
limits,search,"queued_job_check_freq",20,,,
limits,search,"realtime_buffer",10000,,,
limits,search,"record_search_telemetry",TRUE,,,
limits,search,"reduce_duty_cycle","0.25",,,
limits,search,"reduce_freq",10,,,
limits,search,"remote_event_download_finalize_pool",5,,,
limits,search,"remote_event_download_initialize_pool",5,,,
limits,search,"remote_event_download_local_pool",5,,,
limits,search,"remote_timeline",TRUE,,,
limits,search,"remote_timeline_connection_timeout",5,,,
limits,search,"remote_timeline_fetchall",TRUE,,,
limits,search,"remote_timeline_min_peers",TRUE,,,
limits,search,"remote_timeline_receive_timeout",10,,,
limits,search,"remote_timeline_send_timeout",10,,,
limits,search,"remote_timeline_touchperiod",300,,,
limits,search,"remote_ttl",600,,,
limits,search,"replication_file_ttl",600,,,
limits,search,"replication_period_sec",60,,,
limits,search,"result_queue_max_size",100000000,,,
limits,search,"results_compression_algorithm",zstd,,,
limits,search,"results_queue_min_size",10,,,
limits,search,"results_queue_read_timeout_sec",900,,,"NEW_SETTING"
limits,search,"results_serial_format",srs,,,
limits,search,"rr_max_sleep_ms",1000,,,DEPRECATED
limits,search,"rr_min_sleep_ms",10,,,DEPRECATED
limits,search,"rr_sleep_factor",2,,,DEPRECATED
limits,search,"search_keepalive_frequency",30000,,,
limits,search,"search_keepalive_max",100,,,
limits,search,"search_process_memory_usage_percentage_threshold",25,,,
limits,search,"search_process_memory_usage_threshold",4000,,,
limits,search,"search_process_mode",auto,,,
limits,search,"search_retry",FALSE,,,
limits,search,"srtemp_dir_ttl",86400,,,
limits,search,"stack_size",4194304,,,
limits,search,"status_buckets",FALSE,,,
limits,search,"status_cache_size",10000,,,
limits,search,"summary_mode",all,,,
limits,search,"sync_bundle_replication",auto,,,
limits,search,"target_time_perchunk",2000,,,
limits,search,"timeline_events_preview",FALSE,,,
limits,search,"track_indextime_range",TRUE,,,
limits,search,"track_matching_sourcetypes",TRUE,,,
limits,search,"truncate_report",FALSE,,,
limits,search,ttl,600,,,
limits,search,"use_bloomfilter",TRUE,,,
limits,search,"use_metadata_elimination",TRUE,,,
limits,search,"write_multifile_results_out",TRUE,,,
limits,"search_info","filteredindexes_log_level",DEBUG,,,
limits,"search_info","infocsv_log_level",INFO,,,
limits,"search_info","max_infocsv_messages",20,,,
limits,"search_info","show_warn_on_filtered_indexes",FALSE,,,
limits,"search_metrics","debug_metrics",FALSE,,,
limits,"search_optimization",enabled,TRUE,,,
limits,"search_optimization::eval_merge",enabled,TRUE,,,
limits,"search_optimization::merge_union",enabled,TRUE,,,
limits,"search_optimization::predicate_merge",enabled,TRUE,,,
limits,"search_optimization::predicate_merge","inputlookup_merge",TRUE,,,
limits,"search_optimization::predicate_merge","merge_to_base_search",TRUE,,,
limits,"search_optimization::predicate_push",enabled,TRUE,,,
limits,"search_optimization::predicate_split",enabled,TRUE,,,
limits,"search_optimization::projection_elimination",enabled,TRUE,,,
limits,"search_optimization::replace_append_with_union",enabled,TRUE,,,
limits,"search_optimization::replace_stats_cmds_with_tstats",enabled,FALSE,,,
limits,"search_optimization::replace_table_with_fields",enabled,TRUE,,,
limits,"search_optimization::required_field_values",enabled,TRUE,,,
limits,"search_optimization::required_field_values",fields,"eventtype,",,,
limits,"search_optimization::reverse_calculated_fields",enabled,TRUE,,,
limits,"search_optimization::search_expansion",enabled,TRUE,,,
limits,"search_optimization::search_flip_normalization",enabled,TRUE,,,
limits,"search_optimization::search_sort_normalization",enabled,TRUE,,,
limits,searchresults,"compression_level",1,,,
limits,searchresults,maxresultrows,50000,,,
